# deux
(-5.21000000000001, 12.1800000000000)
(-33.9800000000000, -27.9200000000000)
(-50.9900000000001, -16.1500000000000)
(-68.3200000000001, 5.76000000000001)
(-71.9200000000001, 41.4100000000000)
(-65.0500000000001, 70.1800000000001)
(-43.7900000000000, 89.8000000000001)
(-11.7500000000000, 99.9400000000001)
(24.2200000000000, 96.6700000000001)
(53.3300000000001, 79.9900000000001)
(65.7500000000001, 58.7400000000001)
(70.0100000000001, 28.9800000000000)
(56.2700000000001, -9.28000000000001)
(38.6100000000000, -32.5000000000000)
(22.9200000000000, -51.1400000000001)
(75.2400000000001, -50.8100000000001)
(63.7900000000001, -99.2100000000001)
(-73.8800000000001, -99.2100000000001)
(-73.5500000000001, -93.3200000000001)
(-3.24000000000000, -7.32000000000001)
(13.7600000000000, 18.5200000000000)
(15.4000000000000, 36.5000000000000)
(8.53000000000001, 47.9500000000000)
(-4.55000000000000, 52.8500000000001)
(-18.9400000000000, 44.6800000000000)
(-20.9000000000000, 28.3300000000000)
(-16.0000000000000, 16.8800000000000)
(-5.21000000000001, 12.3000000000000)
