# Bleu
(-2.06000000000000, 1.26000000000000)
(-1.59000000000000, 1.84000000000000)
(-0.980000000000001, 2.23000000000000)
(-0.490000000000001, 2.39000000000000)
(-1.04000000000000, 1.63000000000000)
(-1.17000000000000, 0.900000000000001)
(-1.60000000000000, 1.11000000000000)
(-2.06000000000000, 1.26000000000000)
# Bleu-Blanc-Jaune
(-0.490000000000001, 2.39000000000000)
(0.210000000000000, 2.41000000000000)
(1.03000000000000, 2.25000000000000)
(1.55000000000000, 1.95000000000000)
(1.94000000000000, 1.53000000000000)
(1.03000000000000, 1.68000000000000)
(-0.190000000000000, 1.45000000000000)
(-1.17000000000000, 0.900000000000001)
(-1.04000000000000, 1.63000000000000)
(-0.490000000000001, 2.39000000000000)
# Jaune
(1.94000000000000, 1.53000000000000)
(2.35000000000000, 0.880000000000001)
(2.50000000000000, 0.120000000000000)
(2.46000000000000, -0.670000000000001)
(2.21000000000000, -1.27000000000000)
(0.510000000000001, 0.00000000000000)
(-1.17000000000000, 0.900000000000001)
(-0.190000000000000, 1.45000000000000)
(1.03000000000000, 1.68000000000000)
(1.94000000000000, 1.53000000000000)
# Jaune-Blanc-Rouge
(2.21000000000000, -1.27000000000000)
(1.70000000000000, -1.88000000000000)
(1.08000000000000, -2.29000000000000)
(0.0400000000000000, -2.50000000000000)
(-0.460000000000000, -2.19000000000000)
(-0.770000000000001, -1.73000000000000)
(-1.19000000000000, -0.0400000000000000)
(-1.17000000000000, 0.900000000000001)
(0.510000000000001, 0.00000000000000)
(2.21000000000000, -1.27000000000000)
#Rouge
(0.0400000000000000, -2.50000000000000)
(-0.810000000000001, -2.34000000000000)
(-1.39000000000000, -2.01000000000000)
(-1.88000000000000, -1.51000000000000)
(-2.09000000000000, -1.18000000000000)
(-2.29000000000000, -0.790000000000001)
(-2.15000000000000, -0.100000000000000)
(-1.81000000000000, 0.340000000000000)
(-1.17000000000000, 0.900000000000001)
(-1.19000000000000, -0.0400000000000000)
(-0.770000000000001, -1.73000000000000)
(-0.460000000000000, -2.19000000000000)
(0.0400000000000000, -2.50000000000000)
# Rouge-Blanc-Bleu
(-2.06000000000000, 1.26000000000000)
(-1.60000000000000, 1.11000000000000)
(-1.17000000000000, 0.900000000000001)
(-1.81000000000000, 0.340000000000000)
(-2.15000000000000, -0.100000000000000)
(-2.29000000000000, -0.790000000000001)
(-2.43000000000000, 0.00000000000000)
(-2.32000000000000, 0.700000000000001)
(-2.06000000000000, 1.26000000000000)
