# ligne1
(166.220000000000, 58.4700000000001)
(163.470000000000, 62.5800000000001)
(117.240000000000, 40.2500000000000)
(15.9400000000000, 106.280000000000)
(13.3900000000000, 102.360000000000)
(82.1600000000001, 57.4900000000001)
(60.0000000000000, 10.0000000000000)
(115.280000000000, 34.5700000000000)
(112.730000000000, 37.5100000000000)
(68.2500000000001, 16.7400000000000)
(85.8900000000001, 54.7500000000001)
(112.730000000000, 37.5100000000000)
(115.280000000000, 34.5700000000000)
(158.770000000000, 7.33000000000001)
(160.540000000000, 12.4300000000000)
(121.350000000000, 36.9200000000000)
(166.220000000000, 58.4700000000001)
# bleu1
(163.650000000000, 58.4000000000001)
(109.320000000000, 56.2700000000001)
(13.6200000000000, 103.060000000000)
(18.6500000000000, 110.600000000000)
(114.350000000000, 63.8100000000001)
(168.680000000000, 65.9400000000001)
(163.650000000000, 58.4000000000001)
# bleu2
(172.740000000000, 72.9000000000001)
(118.410000000000, 70.7700000000001)
(22.7100000000000, 117.560000000000)
(27.9300000000000, 125.290000000000)
(123.630000000000, 78.5000000000001)
(177.960000000000, 80.6300000000001)
(172.740000000000, 72.9000000000001)
# bleu3
(181.440000000000, 88.7500000000001)
(127.110000000000, 86.6300000000001)
(31.4100000000000, 133.410000000000)
(36.8200000000000, 141.530000000000)
(132.520000000000, 94.7500000000001)
(186.850000000000, 96.8700000000001)
(181.440000000000, 88.7500000000001)
#blanc1
(168.680000000000, 65.9400000000001)
(114.350000000000, 63.8100000000001)
(18.6500000000000, 110.600000000000)
(22.7100000000000, 117.560000000000)
(118.410000000000, 70.7700000000001)
(172.740000000000, 72.9000000000001)
#blanc2
(177.960000000000, 80.6300000000001)
(123.630000000000, 78.5000000000001)
(27.9300000000000, 125.290000000000)
(31.4100000000000, 133.410000000000)
(127.110000000000, 86.6300000000001)
(181.440000000000, 88.7500000000001)
(177.960000000000, 80.6300000000001)

# blabla
(163.650000000000, 58.4000000000001)
(109.320000000000, 56.2700000000001)
(13.6200000000000, 103.060000000000)

(168.680000000000, 65.9400000000001)
(114.350000000000, 63.8100000000001)
(18.6500000000000, 110.600000000000)

(172.740000000000, 72.9000000000001)
(118.410000000000, 70.7700000000001)
(22.7100000000000, 117.560000000000)

(177.960000000000, 80.6300000000001)
(123.630000000000, 78.5000000000001)
(27.9300000000000, 125.290000000000)

(181.440000000000, 88.7500000000001)
(127.110000000000, 86.6300000000001)
(31.4100000000000, 133.410000000000)

(186.850000000000, 96.8700000000001)
(132.520000000000, 94.7500000000001)
(36.8200000000000, 141.530000000000)
