# tete
(-4.670000000000000, 59.28000000000001)
(-4.690000000000001, 60.43000000000001)
(-3.88000000000000, 61.39000000000001)
(-2.79000000000000, 62.2400000000000)
(-1.55000000000000, 62.7400000000000)
(-0.26000000000001, 63.0000000000000)
(1.09000000000001, 62.8600000000000)
(2.22000000000001, 62.4600000000000)
(3.51000000000001, 61.76000000000001)
(4.45000000000001, 60.67000000000001)
(5.0000000000000, 59.66000000000001)
(5.3600000000000, 58.47000000000001)
(5.4200000000000, 57.35000000000001)
(5.3400000000000, 56.20000000000000)
(4.9800000000000, 55.27000000000000)
(4.49000000000001, 54.43000000000000)
(3.77000000000001, 53.54000000000000)
(2.72000000000001, 52.800000000000001)
(1.51000000000001, 52.270000000000000)
(0.02000000000001, 52.0700000000000001)
(-1.24000000000000, 52.210000000000000)
(-2.35000000000000, 52.610000000000001)
(-3.46000000000000, 53.28000000000000)
(-4.47000000000000, 54.37000000000000)
(-5.150000000000000, 55.57000000000000)
(-5.50000000000000, 57.08000000000000)
(-5.4300000000000001, 58.27000000000001)
(-5.170000000000000, 59.28000000000001)
# corps
(0.000000000000000, 53.00000000000000)
(0.000000000000000, 35.00000000000000)
# bras gauche1
(0.000000000000000, 50.00000000000000)
(-4.000000000000000, 38.00000000000000)
# bras gauche2
(-4.000000000000000, 38.00000000000000)
(-4.000000000000000, 26.00000000000000)
# bras droit1
(0.000000000000000, 50.00000000000000)
(3.000000000000000, 38.00000000000000)
# bras droit2
(3.000000000000000, 38.00000000000000)
(8.000000000000000, 29.00000000000000)
# jambe gauche1
(0.000000000000000, 35.00000000000000)
(-2.000000000000000, 15.00000000000000)
# jambe gauche2
(-2.000000000000000, 15.00000000000000)
(-5.000000000000000, 0.00000000000000)
# jambe droite
(0.000000000000000, 35.00000000000000)
(4.000000000000000, 15.00000000000000)
# jambe droite2
(4.000000000000000, 15.00000000000000)
(4.000000000000000, 0.00000000000000)

